drug_name,side_effects,generic_name
doxycycline,"(hives, difficult breathing, swelling in your face or throat) or a severe skin reaction (fever, sore throat, burning in your eyes, skin pain, red or purple skin rash that spreads and causes blistering and peeling). Seek medical treatment if you have a serious drug reaction that can affect many parts of your body. Symptoms may include: skin rash, fever, swollen glands, flu-like symptoms, muscle aches, severe weakness, unusual bruising, or yellowing of your skin or eyes. This reaction may occur several weeks after you began using doxycycline. Doxycycline may cause serious side effects. Call ",doxycycline
spironolactone,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Call ",spironolactone
minocycline,"skin rash, fever, swollen glands, flu-like symptoms, muscle aches, severe weakness, unusual bruising, or yellowing of your skin or eyes. This may be more likely with long-term use of minocycline, and the reaction may occur several weeks after you began using this medicine. Call ",minocycline
Accutane,"problems with your vision or hearing; muscle or joint pain, bone pain, back pain; increased thirst, increased urination; hallucinations, (see or hearing things that are not real); symptoms of depression - unusual mood changes, crying spells, feelings of low self-worth, loss of interest in things you once enjoyed, new sleep problems, thoughts about hurting yourself; signs of liver or pancreas problems - loss of appetite, upper stomach pain (that may spread to your back), nausea or vomiting, fast heart rate , dark urine, jaundice (yellowing of the skin or eyes); severe stomach problems - severe stomach or chest pain, pain when swallowing, heartburn , diarrhea , rectal bleeding , bloody or tarry stools; or increased pressure inside the skull - severe headaches, ringing in your ears, dizziness, nausea, vision problems, pain behind your eyes. Common Accutane side effects may include: dryness of your skin, lips, eyes, or nose (you may have nosebleeds ); vision problems; headache, back pain ,",isotretinoin (oral)
clindamycin,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Clindamycin topical may cause serious side effects. Stop using clindamycin topical and call ",clindamycin topical
Aldactone,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Call ",spironolactone
tretinoin,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Tretinoin topical may cause serious side effects. Call ",tretinoin topical
isotretinoin,"problems with your vision or hearing; muscle or joint pain, bone pain, back pain; increased thirst, increased urination; hallucinations, (see or hearing things that are not real); symptoms of depression--unusual mood changes, crying spells, feelings of low self-worth, loss of interest in things you once enjoyed, new sleep problems, thoughts about hurting yourself; signs of liver or pancreas problems--loss of appetite, upper stomach pain (that may spread to your back), nausea or vomiting, fast heart rate , dark urine, jaundice (yellowing of the skin or eyes); severe stomach problems--severe stomach or chest pain, pain when swallowing, heartburn , diarrhea , rectal bleeding , bloody or tarry stools; or increased pressure inside the skull--severe headaches, ringing in your ears, dizziness, nausea, vision problems, pain behind your eyes. Common side effects of isotretinoin may include: dryness of your skin, lips, eyes, or nose (you may have nosebleeds ); vision problems; headache, back pai",isotretinoin (oral)
Bactrim,"skin rash, fever, swollen glands, joint pain, muscle aches, severe weakness, pale skin, unusual bruising, or yellowing of your skin or eyes. Call ",sulfamethoxazole and trimethoprim
Retin-A,"hives; difficult breathing; swelling of your face, lips, tongue, or throat. Stop using Retin-A and call ",Retin-A
Aczone,"hives; difficult breathing; swelling of your face, lips, tongue, or throat. Aczone may cause methemoglobinemia (met-HEEM-oh glo-bin-EE-mee-a), a serious condition in which the amount of oxygen in your blood stream becomes dangerously low. Stop using this medicine and call ",dapsone topical
benzoyl peroxide,"Benzoyl peroxide topical can cause a rare but serious allergic reaction or severe skin irritation. These reactions may occur just a few minutes after you apply the medicine, or within a day or longer afterward. Stop using this medicine and get emergency medical help if you have signs of an allergic reaction : hives, itching; difficult breathing, feeling light-headed; swelling of your face, lips, tongue, or throat. Stop using benzoyl peroxide and call ",benzoyl peroxide topical
Differin,"hives, itching; chest pain, difficult breathing; swelling of your face, lips, tongue, or throat. Stop using this medicine and call ",adapalene topical
Epiduo,"Benzoyl peroxide can cause a rare but serious allergic reaction or severe skin irritation. Stop using this medicine and get emergency medical help if you have: hives , itching; difficult breathing, feeling light-headed; or swelling of your face, lips, tongue, or throat. Epiduo may cause serious side effects. Call ",adapalene and benzoyl peroxide (topical)
adapalene,"hives , itching; chest pain, difficult breathing; swelling of your face, lips, tongue, or throat. adapalene topical may cause serious side effects. Stop using adapalene topical and call ",adapalene topical
cephalexin,"severe stomach pain, diarrhea that is watery or bloody (even if it occurs months after your last dose); unusual tiredness, feeling light-headed or short of breath; easy bruising, unusual bleeding, purple or red spots under your skin; a seizure; pale skin, cold hands and feet; yellowed skin, dark colored urine; fever, weakness; or pain in your side or lower back, painful urination. Common cephalexin side effects may include: diarrhea; nausea, vomiting; indigestion , stomach pain; or vaginal itching or discharge.",cephalexin
Doryx,"Along with its needed effects, a medicine may cause some unwanted effects. Although not all of these side effects may occur, if they do occur they may need medical attention. Check with ",doxycycline (oral route)
tetracycline,"hives; difficult breathing; swelling of your face, lips, tongue, or throat. Call ",tetracycline
Septra,"skin rash, fever, swollen glands, joint pain, muscle aches, severe weakness, pale skin, unusual bruising, or yellowing of your skin or eyes. Call ",sulfamethoxazole and trimethoprim (oral)
Solodyn,"skin rash, fever, swollen glands, muscle aches, severe weakness, unusual bruising, or yellowing of your skin or eyes. Call ",minocycline
Tazorac,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Stop using Tazorac and call ",tazarotene topical
Vibramycin,"Along with its needed effects, a medicine may cause some unwanted effects. Although not all of these side effects may occur, if they do occur they may need medical attention. Check with ",doxycycline (oral route)
Acticlate,"WARNING/CAUTION: Even though it may be rare, some people may have very bad and sometimes deadly side effects when taking a drug. Tell ",Doxycycline Tablets and Capsules
benzoyl peroxide / clindamycin,"Benzoyl peroxide can cause a rare but serious allergic reaction or severe skin irritation. These reactions may occur just a few minutes after you apply the medicine, or within a day or longer afterward. Stop using benzoyl peroxide and clindamycin topical and get emergency medical help if you have signs of an allergic reaction : hives, itching; difficult breathing, feeling light-headed; swelling of your face, lips, tongue, or throat. This medicine may cause serious side effects. Stop using this medicine and call ",benzoyl peroxide and clindamycin topical
Doxy 100,"WARNING/CAUTION: Even though it may be rare, some people may have very bad and sometimes deadly side effects when taking a drug. Tell ",Doxycycline Injection
Keflex,"severe stomach pain, diarrhea that is watery or bloody (even if it occurs months after your last dose); unusual tiredness, feeling light-headed or short of breath; easy bruising, unusual bleeding, purple or red spots under your skin; a seizure; pale skin, cold hands and feet; yellowed skin, dark colored urine; fever, weakness; or pain in your side or lower back, painful urination. Common Keflex side effects may include: diarrhea; nausea, vomiting; indigestion , stomach pain; or vaginal itching or discharge.",cephalexin
sulfamethoxazole / trimethoprim,"skin rash, fever, swollen glands, joint pain, muscle aches, severe weakness, pale skin, unusual bruising, or yellowing of your skin or eyes. Sulfamethoxazole and trimethoprim may cause serious side effects. Call ",sulfamethoxazole and trimethoprim (oral/injection)
Benzaclin,"hives; difficulty breathing; swelling of your face, lips, tongue, or throat. Stop using this medicine and call ",benzoyl peroxide and clindamycin topical
Monodox,"Along with its needed effects, a medicine may cause some unwanted effects. Although not all of these side effects may occur, if they do occur they may need medical attention. Check with ",doxycycline (oral route)
Targadox,"WARNING/CAUTION: Even though it may be rare, some people may have very bad and sometimes deadly side effects when taking a drug. Tell ",Doxycycline Tablets and Capsules
Adoxa,"WARNING/CAUTION: Even though it may be rare, some people may have very bad and sometimes deadly side effects when taking a drug. Tell ",Doxycycline Tablets and Capsules
Adoxa CK,"Along with its needed effects, a medicine may cause some unwanted effects. Although not all of these side effects may occur, if they do occur they may need medical attention. Check with ",doxycycline (oral route)
Adoxa Pak,"Along with its needed effects, a medicine may cause some unwanted effects. Although not all of these side effects may occur, if they do occur they may need medical attention. Check with ",doxycycline (oral route)
Adoxa TT,"Along with its needed effects, a medicine may cause some unwanted effects. Although not all of these side effects may occur, if they do occur they may need medical attention. Check with ",doxycycline (oral route)
Avidoxy,"WARNING/CAUTION: Even though it may be rare, some people may have very bad and sometimes deadly side effects when taking a drug. Tell ",Doxycycline Tablets and Capsules
Bactrim DS,"Along with its needed effects, a medicine may cause some unwanted effects. Although not all of these side effects may occur, if they do occur they may need medical attention. Check with ",sulfamethoxazole and trimethoprim (oral route)
Cleocin T,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Cleocin T may cause serious side effects. Stop using Cleocin T and call ",clindamycin topical
Clindagel,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Clindagel may cause serious side effects. Stop using Clindagel and call ",clindamycin topical
Doryx MPC,"Along with its needed effects, a medicine may cause some unwanted effects. Although not all of these side effects may occur, if they do occur they may need medical attention. Check with ",doxycycline (oral route)
erythromycin,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Erythromycin topical may cause serious side effects. Call ",erythromycin topical
Morgidox,"WARNING/CAUTION: Even though it may be rare, some people may have very bad and sometimes deadly side effects when taking a drug. Tell ",Doxycycline Tablets and Capsules
Oraxyl,"WARNING/CAUTION: Even though it may be rare, some people may have very bad and sometimes deadly side effects when taking a drug. Tell ",Doxycycline Tablets and Capsules
Claravis,"problems with your vision or hearing; muscle or joint pain, bone pain, back pain; increased thirst, increased urination; hallucinations, (see or hearing things that are not real); symptoms of depression--unusual mood changes, crying spells, feelings of low self-worth, loss of interest in things you once enjoyed, new sleep problems, thoughts about hurting yourself; signs of liver or pancreas problems--loss of appetite, upper stomach pain (that may spread to your back), nausea or vomiting, fast heart rate , dark urine, jaundice (yellowing of the skin or eyes); severe stomach problems--severe stomach or chest pain, pain when swallowing, heartburn , diarrhea , rectal bleeding , bloody or tarry stools; or increased pressure inside the skull--severe headaches, ringing in your ears, dizziness, nausea, vision problems, pain behind your eyes. Common side effects of Claravis may include: dryness of your skin, lips, eyes, or nose (you may have nosebleeds ); vision problems; headache, back pain , ",isotretinoin (oral)
Clinda-Derm,"Along with its needed effects, a medicine may cause some unwanted effects. Although not all of these side effects may occur, if they do occur they may need medical attention. Check with ",clindamycin (topical route)
Evoclin,"hives; difficult breathing; swelling of your face, lips, tongue, or throat. Serious side effects are unlikely when clindamycin is applied to the skin, but can occur if the medicine is absorbed into your bloodstream. Stop using Evoclin and call ",clindamycin topical
Minocin,"Along with its needed effects, a medicine may cause some unwanted effects. Although not all of these side effects may occur, if they do occur they may need medical attention. Check with ",minocycline (oral route)
Yaz,"hives; difficult breathing; swelling of your face, lips, tongue, or throat. Stop using Yaz and call ",drospirenone and ethinyl estradiol
adapalene / benzoyl peroxide,"Benzoyl peroxide can cause a rare but serious allergic reaction or severe skin irritation. Stop using this medicine and get emergency medical help if you have: hives , itching; difficult breathing, feeling light-headed; or swelling of your face, lips, tongue, or throat. Adapalene and benzoyl peroxide may cause serious side effects. Call ",adapalene and benzoyl peroxide (topical)
Clindacin ETZ,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Clindacin ETZ may cause serious side effects. Stop using Clindacin ETZ and call ",clindamycin topical
Clindacin P,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Clindacin P may cause serious side effects. Stop using Clindacin P and call ",clindamycin topical
Clindacin PAC,"Along with its needed effects, a medicine may cause some unwanted effects. Although not all of these side effects may occur, if they do occur they may need medical attention. Check with ",clindamycin (topical route)
ClindaReach Pledget,"Along with its needed effects, a medicine may cause some unwanted effects. Although not all of these side effects may occur, if they do occur they may need medical attention. Check with ",clindamycin (topical route)
Clindets,"Along with its needed effects, a medicine may cause some unwanted effects. Although not all of these side effects may occur, if they do occur they may need medical attention. Check with ",clindamycin (topical route)
Milk of Magnesia,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Milk of Magnesia may cause serious side effects. Stop using Milk of Magnesia and call ",magnesium hydroxide
Septra DS,"Along with its needed effects, a medicine may cause some unwanted effects. Although not all of these side effects may occur, if they do occur they may need medical attention. Check with ",sulfamethoxazole and trimethoprim (oral route)
Yasmin,"hives; difficult breathing; swelling of your face, lips, tongue, or throat. Stop using Yasmin and call ",drospirenone and ethinyl estradiol
Ziana,"hives; difficult breathing; swelling of your face, lips, tongue, or throat. Stop using this medicine and call ",clindamycin and tretinoin (topical)
Absorica,"problems with your vision or hearing; muscle or joint pain, bone pain, back pain; increased thirst, increased urination; hallucinations, (see or hearing things that are not real); symptoms of depression--unusual mood changes, crying spells, feelings of low self-worth, loss of interest in things you once enjoyed, new sleep problems, thoughts about hurting yourself; signs of liver or pancreas problems--loss of appetite, upper stomach pain (that may spread to your back), nausea or vomiting, fast heart rate , dark urine, jaundice (yellowing of the skin or eyes); severe stomach problems--severe stomach or chest pain, pain when swallowing, heartburn , diarrhea , rectal bleeding , bloody or tarry stools; or increased pressure inside the skull--severe headaches, ringing in your ears, dizziness, nausea, vision problems, pain behind your eyes. Common side effects of Absorica may include: dryness of your skin, lips, eyes, or nose (you may have nosebleeds ); vision problems; headache, back pain , ",isotretinoin (oral)
Acanya,"hives; difficulty breathing; swelling of your face, lips, tongue, or throat. Stop using Acanya and call ",benzoyl peroxide and clindamycin topical
Amnesteem,"problems with your vision or hearing; muscle or joint pain, bone pain, back pain; increased thirst, increased urination; hallucinations, (see or hearing things that are not real); symptoms of depression--unusual mood changes, crying spells, feelings of low self-worth, loss of interest in things you once enjoyed, new sleep problems, thoughts about hurting yourself; signs of liver or pancreas problems--loss of appetite, upper stomach pain (that may spread to your back), nausea or vomiting, fast heart rate , dark urine, jaundice (yellowing of the skin or eyes); severe stomach problems--severe stomach or chest pain, pain when swallowing, heartburn , diarrhea , rectal bleeding , bloody or tarry stools; or increased pressure inside the skull--severe headaches, ringing in your ears, dizziness, nausea, vision problems, pain behind your eyes. Common side effects of Amnesteem may include: dryness of your skin, lips, eyes, or nose (you may have nosebleeds ); vision problems; headache, back pain ,",isotretinoin (oral)
azelaic acid,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. This medicine may cause serious side effects. Stop using this medicine and call ",azelaic acid topical
dapsone,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Dapsone topical may cause methemoglobinemia (met-HEEM-oh glo-bin-EE-mee-a), a serious condition in which the amount of oxygen in your blood stream becomes dangerously low. Stop using this medicine and call ",dapsone topical
Duac,"Benzoyl peroxide can cause a rare but serious allergic reaction or severe skin irritation. These reactions may occur just a few minutes after you apply the medicine, or within a day or longer afterward. Stop using DUAC and get emergency medical help if you have signs of an allergic reaction : hives, itching; difficult breathing, feeling light-headed; swelling of your face, lips, tongue, or throat. This medicine may cause serious side effects. Stop using this medicine and call ",benzoyl peroxide and clindamycin topical
Emcin Clear,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Emcin Clear may cause serious side effects. Call ",erythromycin topical
Epiduo Forte,"Benzoyl peroxide can cause a rare but serious allergic reaction or severe skin irritation. Stop using this medicine and get emergency medical help if you have: hives , itching; difficult breathing, feeling light-headed; or swelling of your face, lips, tongue, or throat. Epiduo Forte may cause serious side effects. Call ",adapalene and benzoyl peroxide (topical)
Erygel,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Erygel may cause serious side effects. Call ",erythromycin topical
